pdf,Title,Court,Date,No,page
D:/antitrust/Data 1/testing\c5.pdf,"Environmental Tectonics v. W.S. Kirkpatrick, Inc.",United States Court of Appeals for the Third Circuit,"November 20, 1987, Argued ; May 2, 1988, Filed","Nos. 87-5328, 87-5546",857
D:/antitrust/Data 1/testing\c5.pdf,"Jeanery, Inc. v. James Jeans, Inc.",United States Court of Appeals for the Ninth Circuit,"May 5, 1986, Argued and Submitted ;  May 2, 1988, Decided",No. 85-3751,876
D:/antitrust/Data 1/testing\c5.pdf,Federal Paper Bd. Co. v. Commissioner,United States Tax Court,"May 16, 1988.  ; May 16, 1988, Filed",Docket No. 34291-83,898
D:/antitrust/Data 1/testing\c5.pdf,Seven Gables Corp. v. Sterling Recreation Organization Co.,United States District Court for the Western District of Washington,"May 16, 1988, Decided",No. C 84-1057R,911
D:/antitrust/Data 1/testing\c5.pdf,Volvo North America Corp. v. Men's International Professional Tennis Council,United States District Court for the Southern District of New York,"May 18, 1988, Decided",No. 85 Civ. 2959 (KTD),921
D:/antitrust/Data 1/testing\c5.pdf,"Telectronics Proprietary, Ltd. v. Medtronic, Inc.",United States District Court for the Southern District of New York,"May 19, 1988, Decided ; May 20, 1988, Filed",No. 83 CIV. 8568 (PKL),947
D:/antitrust/Data 1/testing\c5.pdf,Byrd v. Salvation Army,"United States District Court for the Middle District of Florida, Orlando Division","May 20, 1988; May 20, 1988, Filed",Case No. 87-375-Civ-Orl-19,969
D:/antitrust/Data 1/testing\c5.pdf,"Sorisio v. Lenox, Inc.",United States District Court for the District of Connecticut,"May 26, 1988, Decided",Civil No. B-84-634(EBB),972
D:/antitrust/Data 1/testing\c5.pdf,"Disher v. Information Resources, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","May 27, 1988, Decided ;  May 31, 1988, Filed",No. 83 C 6964,989
D:/antitrust/Data 1/testing\c5.pdf,"United States v. BNS, Inc.",United States Court of Appeals for the Ninth Circuit,"May 13, 1988, Argued and Submitted ; May 27, 1988, Filed","Nos. 88-5849, 88-5850",1002
D:/antitrust/Data 1/testing\c5.pdf,"Consolidated Metal Products, Inc. v. American Petroleum Institute",United States Court of Appeals for the Fifth Circuit,6-Jun-88,No. 87-1200,1013
D:/antitrust/Data 1/testing\c5.pdf,"Ferguson v. Greater Pocatello Chamber of Commerce, Inc.",United States Court of Appeals for the Ninth Circuit,"March 3, 1987, Argued and Submitted ; June 6, 1988, Filed",No. 86-3722,1032
D:/antitrust/Data 1/testing\c5.pdf,"C & W Constr. Co. v. Brotherhood of Carpenters & Joiners, Local 745",United States District Court for the District of Hawaii,"June 7, 1988, Decided ; June 7, 1988, Filed",Civil No. 83-0710,1046
D:/antitrust/Data 1/testing\c5.pdf,"Fischer v. NWA, Inc.","United States District Court for the District of Minnesota, Third Division","June 9, 1988, Decided and Filed",No. 3-87 CIV 106,1073
D:/antitrust/Data 1/testing\c5.pdf,"Telerate Sys., Inc. v. Caro",United States District Court for the Southern District of New York,"June 10, 1988, Decided",No. 85 Civ. 9132 (DNE),1087
D:/antitrust/Data 1/testing\c5.pdf,Allied Tube & Conduit Corp. v. Indian Head,Supreme Court of the United States,"February 24, 1988, Argued ; June 13, 1988, Decided",No. 87-157,1112
D:/antitrust/Data 1/testing\c5.pdf,"Beer Wholesalers, Inc. v. Miller Brewing Co.",Court of Appeals of Minnesota,"June 14, 1988 ; June 21, 1988, Filed",No. C5-88-285,1130
D:/antitrust/Data 1/testing\c5.pdf,McLaughlin v. Liu,United States Court of Appeals for the Ninth Circuit,"December 9, 1987, Argued and Submitted ; June 14, 1988, Filed",No. 87-5669,1139
D:/antitrust/Data 1/testing\c5.pdf,"R.C. Bigelow, Inc. v. Unilever N.V.",United States District Court for the District of Connecticut,"June 15, 1988, Decided ; June 15, 1988, Filed",Civil No. B-88-299 (JAC),1148
D:/antitrust/Data 1/testing\c5.pdf,Christianson v. Colt Indus. Operating Corp.,Supreme Court of the United States,"April 18, 1988, Argued ; June 17, 1988, Decided",No. 87-499,1156
D:/antitrust/Data 1/testing\c5.pdf,"Nat'l Ass'n of Pharm. Mfrs., Inc. v. Ayerst Labs.",United States Court of Appeals for the Second Circuit,"November 30, 1987, Argued ; June 22, 1988, Decided",No. 87-7710,1178
D:/antitrust/Data 1/testing\c5.pdf,In re Super Premium Ice Cream Distribution Antitrust Litigation,United States District Court for the Northern District of California,"June 23, 1988, Decided ;  June 23, 1988, Filed","MDL Docket No. 682, No. C-85-6553 CAL 218",1193
D:/antitrust/Data 1/testing\c5.pdf,Health Care Equalization Committee of Iowa Chiropractic Soc. v. Iowa Medical Soc.,United States Court of Appeals for the Eighth Circuit,"August 31, 1987, Submitted ; June 24, 1988, Filed","Nos. 86-2588, 87-1015",1204
D:/antitrust/Data 1/testing\c5.pdf,"Drabbant Enterprises, Inc. v. Great Atlantic & Pacific Tea Co.",United States District Court for the District of Delaware,27-Jun-88,Civil Action No. 88-215 LON,1219
D:/antitrust/Data 1/testing\c5.pdf,"Lease Lights, Inc. v. Public Service Co.",United States Court of Appeals for the Tenth Circuit,"June 27, 1988, Filed",No. 86-1797,1236
D:/antitrust/Data 1/testing\c5.pdf,"Dreiling v. Peugeot Motors of America, Inc.",United States Court of Appeals for the Tenth Circuit,"June 28, 1988, Filed","Nos. 85-1823, 85-1880, 85-2628, 85-2735",1243
D:/antitrust/Data 1/testing\c5.pdf,Gould v. Sacred Heart Hosp.,"United States District Court for the Northern District of Florida, Pensacola Division","June 29, 1988, Decided ; June 29, 1988, Filed",PCA No. 86-4392-RV,1256
D:/antitrust/Data 1/testing\c5.pdf,Clamp-All Corp. v. Cast Iron Soil Pipe Inst.,United States Court of Appeals for the First Circuit,30-Jun-88,No. 87-1697,1286
D:/antitrust/Data 1/testing\c5.pdf,United States v. Seluk,United States District Court for the District of Massachusetts,"July 5, 1988, Decided",Criminal No. 88-107-K,1301
D:/antitrust/Data 1/testing\c5.pdf,Genetic Systems Corp. v. Abbott Laboratories,United States District Court for the District of Columbia,"July 13, 1988, Decided ;  July 13, 1988, Filed",Civil Action No. 87-1722,1320
D:/antitrust/Data 1/testing\c5.pdf,"West Allis Memorial Hospital, Inc. v. Bowen",United States Court of Appeals for the Seventh Circuit,"December 9, 1987, Argued ; July 14, 1988, Decided",No. 87-1974,1336
D:/antitrust/Data 1/testing\c5.pdf,"FTC v. Illinois Cereal Mills, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","July 18, 1988, Decided",No. 88 C 4891,1347
D:/antitrust/Data 1/testing\c5.pdf,"Corrosion Resistant Materials Co. v. Steelite, Inc.",United States District Court for the District of New Jersey,"July 19, 1988, Decided ; July 20, 1988, Filed",Civil Action No. 84-2337,1366
D:/antitrust/Data 1/testing\c5.pdf,"Winter Hill Frozen Foods & Services, Inc. v. Haagen-Dazs Co.",United States District Court for the District of Massachusetts,"July 19, 1988, Decided",Civil Action No. 88-0009-XX,1377
D:/antitrust/Data 1/testing\c5.pdf,"Allen-Myland, Inc. v. International Business Machines Corp.",United States District Court for the Eastern District of Pennsylvania,"July 21, 1988, Decided ;  July 22, 1988, Filed",Civil Action No. 85-6166,1393
D:/antitrust/Data 1/testing\c5.pdf,Kowalski v. Chicago Tribune Co.,United States Court of Appeals for the Seventh Circuit,"May 13, 1988, Argued ; July 22, 1988, Decided",No. 88-1626,1436
D:/antitrust/Data 1/testing\c5.pdf,"Ocean State Physicians Health Plan, Inc. v. Blue Cross & Blue Shield",United States District Court for the District of Rhode Island,"July 27, 1988, Decided",C.A. No. 86-0598-B,1442
D:/antitrust/Data 1/testing\c5.pdf,"New York Public Interest Research Group, Inc. v. Insurance Information Institute","Supreme Court of New York, New York County",3-Aug-88,No Number in Original,1466
D:/antitrust/Data 1/testing\c5.pdf,Odishelidze v. Aetna Life & Casualty Co.,United States Court of Appeals for the First Circuit,3-Aug-88,No. 87-1901,1480
D:/antitrust/Data 1/testing\c5.pdf,Crane & Shovel Sales Corp. v. Bucyrus-Erie Co.,United States Court of Appeals for the Sixth Circuit,"December 17, 1987, Argued ; August 4, 1988, Decided ; August 4, 1988, Filed",No. 87-3030,1486
D:/antitrust/Data 1/testing\c5.pdf,Bolt v. Halifax Hosp. Medical Ctr.,United States Court of Appeals for the Eleventh Circuit,8-Aug-88,"Nos. 84-3256, 84-3603",1498
D:/antitrust/Data 1/testing\c5.pdf,"Colonial Penn Group, Inc. v. American Asso. of Retired Persons",United States District Court for the Eastern District of Pennsylvania,"August 8, 1988, Decided ;  August 8, 1988, Filed",Civil Action No. 83-4911,1517
D:/antitrust/Data 1/testing\c5.pdf,"Sandcrest Outpatient Services, P.A. v. Cumberland County Hospital System, Inc.",United States Court of Appeals for the Fourth Circuit,"June 8, 1988, Argued ; August 10, 1988, Decided",No. 87-1713,1523
D:/antitrust/Data 1/testing\c5.pdf,"Kerasotes Michigan Theatres, Inc. v. National Amusements, Inc.",United States Court of Appeals for the Sixth Circuit,"August 12, 1988, Decided ; August 12, 1988, Filed",No. 87-1887,1534
D:/antitrust/Data 1/testing\c5.pdf,Dunnivant v. Bi-State Auto Parts,United States Court of Appeals for the Eleventh Circuit,15-Aug-88,No. 87-7652,1538
D:/antitrust/Data 1/testing\c5.pdf,Sollenbarger v. Mountain States Tel. & Tel. Co.,United States District Court for the District of New Mexico,"August 15, 1988, Decided",Civil Action No. 87-1485-SC,1550
D:/antitrust/Data 1/testing\c5.pdf,"Williams Elec. Co. v. Honeywell, Inc.",United States Court of Appeals for the Eleventh Circuit,15-Aug-88,"Nos. 87-3235, 87-3402",1573
D:/antitrust/Data 1/testing\c6.pdf,Superior Court Trial Lawyers Ass'n v. FTC,United States Court of Appeals for the District of Columbia Circuit,"September 10, 1987, Argued ; August 26, 1988, Decided",No. 86-1465,21
D:/antitrust/Data 1/testing\c6.pdf,MJR Corp. v. B & B Vending Co.,"Court of Appeals of Texas, Fifth District, Dallas",30-Aug-88,No. 05-86-00539-CV,52
D:/antitrust/Data 1/testing\c6.pdf,Volvo North America Corp. v. Men's International Professional Tennis Council,United States Court of Appeals for the Second Circuit,"May 9, 1988, Argued ; August 30, 1988, Decided","Nos. 87-7776, 87-7778, 87-7784",73
D:/antitrust/Data 1/testing\c6.pdf,Fina Oil & Chemical Co. v. Boyette,"Court of Appeal of Florida, First District","September 1, 1988, Filed",Case No. 87-1228,97
D:/antitrust/Data 1/testing\c6.pdf,In re Air Passenger Computer Reservations Systems Antitrust Litigation,United States District Court for the Central District of California,"September 7, 1988, Decided and Filed","Master File No. MDL 667-ER, Case Nos. CV 86-0697-ER, CV 86-0696-ER, CV 84-0918-ER",100
D:/antitrust/Data 1/testing\c6.pdf,Michigan Citizens for Independent Press v. Attorney Gen. of United States,United States District Court for the District of Columbia,"September 14, 1988, Decided ;  September 14, 1988, Filed",Civil Action No. 88-2322,102
D:/antitrust/Data 1/testing\c6.pdf,General Rent-A-Car v. Roberts,United States District Court for the Southern District of Florida,"September 15, 1988, Decided ; September 15, 1988, Filed",CASE NO. 87-8345-CIV-MARCUS,111
D:/antitrust/Data 1/testing\c6.pdf,"Reynolds Metals Co. v. Columbia Gas System, Inc.","United States District Court for the Eastern District of Virginia, Richmond Division","September 16, 1988, Decided ;  September 16, 1988, Filed",Civil Action No. 87-0446-R,121
D:/antitrust/Data 1/testing\c6.pdf,"Fuchs v. Rural Electric Convenience Cooperative, Inc.",United States Court of Appeals for the Seventh Circuit,"April 20, 1988, Argued ; September 20, 1988, Filed",No. 87-2849,126
D:/antitrust/Data 1/testing\c6.pdf,"City Communications, Inc. v. Detroit","United States District Court for the Eastern District of Michigan, Southern Division","September 28, 1988, Decided",No. 86-CV-71087-DT,136
D:/antitrust/Data 1/testing\c6.pdf,"Martin v. American Kennel Club, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","September 28, 1988, Decided ;  October 3, 1988, Filed",No. 87 C 2151,144
D:/antitrust/Data 1/testing\c6.pdf,Lake Havasu City v. Rancho Disposal Serv.,United States Court of Appeals for the Ninth Circuit,"June 17, 1988, Argued and Submitted, San Francisco, California; September 29, 1988, Filed",C.A. No. 87-2465,157
D:/antitrust/Data 1/testing\c6.pdf,"Grappone, Inc. v. Subaru of New England",United States Court of Appeals for the First Circuit,30-Sep-88,No. 87-1538,162
D:/antitrust/Data 1/testing\c6.pdf,United States v. Ashley Transfer & Storage Co.,United States Court of Appeals for the Fourth Circuit,"June 10, 1988, Argued ; October 3, 1988, Decided",No. 87-5153,170
D:/antitrust/Data 1/testing\c6.pdf,"American Academic Suppliers, Inc. v. Beckley-Cardy, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","October 4, 1988, Decided ;  October 5, 1988, Filed",No. 88 C 2526,179
D:/antitrust/Data 1/testing\c6.pdf,Captain Clean Yacht Care v. Racine Marina Assocs.,United States District Court for the Eastern District of Wisconsin,"October 5, 1988, Decided; October 5, 1988, Filed",Case No. 87-C-949,186
D:/antitrust/Data 1/testing\c6.pdf,Tunis Bros. Co. v. Ford Motor Co.,United States District Court for the Eastern District of Pennsylvania,"October 5, 1988, Decided ;  October 5, 1988, Filed",No. 82-5557,197
D:/antitrust/Data 1/testing\c6.pdf,USA Petroleum Co. v. Atlantic Richfield Co.,United States Court of Appeals for the Ninth Circuit,"November 4, 1987, Argued and Submitted ; October 7, 1988, Filed",No. 87-5681,204
D:/antitrust/Data 1/testing\c6.pdf,Webb v. Primo's Inc.,"United States District Court for the Northern District of Georgia, Atlanta Division","October 8, 1988, Decided ; October 11, 1988, Filed",Civil No. 1:88-cv-888-ODE,224
D:/antitrust/Data 1/testing\c6.pdf,Brandenburg v. Seidel,United States Court of Appeals for the Fourth Circuit,"May 3, 1988, Argued ; October 11, 1988, Decided",No. 87-1116,235
D:/antitrust/Data 1/testing\c6.pdf,Carlock v. Pillsbury Co.,"United States District Court for the District of Minnesota, Fourth Division","October 13, 1988, Decided ; October 13, 1988, Filed","CIVIL 4-87-517, CIVIL 4-87-586",251
D:/antitrust/Data 1/testing\c6.pdf,Castelli v. Meadville Medical Center,United States District Court for the Western District of Pennsylvania,"October 18, 1988, Decided",Civil Action No. 87-84 ERIE,268
D:/antitrust/Data 1/testing\c6.pdf,"Mr. Furniture Warehouse, Inc. v. Barclays American/Commercial, Inc.",United States District Court for the Southern District of Florida,"October 19, 1988, Decided ;  October 19, 1988, Filed",Case No. 87-0620-CIV,279
D:/antitrust/Data 1/testing\c6.pdf,Cal. ex rel. Van De Kamp v. Texaco,Supreme Court of California,20-Oct-88,S.F. No. 24987,283
D:/antitrust/Data 1/testing\c6.pdf,"Consolidated Gold Fields, PLC v. Anglo American Corp.",United States District Court for the Southern District of New York,"October 24, 1988, Decided ;  October 24, 1988, Filed",No. 88 Civ. 8191 (MBM),329
D:/antitrust/Data 1/testing\c6.pdf,"Consolidated Gold Fields, PLC v. Anglo American Corp.",United States District Court for the Southern District of New York,"October 24, 1988, Decided; October 28, 1988, Filed; Affirmed in part Reversed in part and Remanded March 22,1989",No. 88 Civ. 7191 (MBM),347
D:/antitrust/Data 1/testing\c6.pdf,McGahee v. Northern Propane Gas Co.,United States Court of Appeals for the Eleventh Circuit,27-Oct-88,No. 87-8379,364
D:/antitrust/Data 1/testing\c6.pdf,"Hassan v. Independent Practice Associates, P.C.","United States District Court for the Eastern District of Michigan, Southern Division","October 28, 1988, Decided",Civil Action No. 85-CV-40008-FL,387
D:/antitrust/Data 1/testing\c6.pdf,"Consol. Aluminum Corp. v. Foseco Int'l, Ltd","United States District Court for the Northern District of Illinois, Eastern Division","October 31, 1988, Decided",Case No. 82 C 2792,412
D:/antitrust/Data 1/testing\c6.pdf,"Video International Production, Inc. v. Warner-Amex Cable Communications, Inc.",United States Court of Appeals for the Fifth Circuit,31-Oct-88,No. 87-1572,451
D:/antitrust/Data 1/testing\c6.pdf,Bloch v. Smithkline Beckman Corp.,United States District Court for the Eastern District of Pennsylvania,"November 1, 1988, Decided, Filed and Entered",Civil Action No. 82-510,466
D:/antitrust/Data 1/testing\c6.pdf,"C. Bennett Bldg. Supplies, Inc. v. Jenn Air Corp.","Court of Appeals of Missouri, Eastern District, Division Three","November 1, 1988, Filed","Nos. 54406, 54840",495
D:/antitrust/Data 1/testing\c6.pdf,"Hendricks Music Co. v. Steinway, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","November 4, 1988, Decided; November 7, 1988, Filed",No. 87 C 10582,503
D:/antitrust/Data 1/testing\c6.pdf,Jiricko v. Coffeyville Memorial Hospital Medical Center,United States District Court for the District of Kansas,"November 4, 1988, Decided ;  November 4, 1988, Filed",No. 84-1775-K,508
D:/antitrust/Data 1/testing\c6.pdf,Turpen v. Okla. Corp. Comm'n,Supreme Court of Oklahoma,"November 8, 1988, Filed","Nos. 66,038, 66,686",515
D:/antitrust/Data 1/testing\c6.pdf,U. S. Philips Corp. v. Windmere Corp.,United States Court of Appeals for the Federal Circuit,"November 14, 1988, Decided",No. 87-1476,604
D:/antitrust/Data 1/testing\c6.pdf,"Illinois Corporate Travel, Inc. v. American Airlines, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","November 18, 1988, Decided",No. 85 C 7079,620
D:/antitrust/Data 1/testing\c6.pdf,"Arnold Pontiac-GMC, Inc. v. General Motors Corp.",United States District Court for the Western District of Pennsylvania,"November 21, 1988, Decided",Civil Action No. 82-1861,631
D:/antitrust/Data 1/testing\c6.pdf,Oltz v. Saint Peter's Community Hosp.,United States Court of Appeals for the Ninth Circuit,"September 15, 1988, Argued and Submitted -- Seattle, Washington ; November 28, 1988, Filed","Nos. 87-3944, 87-3945",638
D:/antitrust/Data 1/testing\c6.pdf,"Sorisio v. Lenox, Inc.",United States Court of Appeals for the Second Circuit,"Argued: November 9, 1988 ; November 29, 1988, Decided",Docket No. 88-7583,653
D:/antitrust/Data 1/testing\c6.pdf,Merle Norman Cosmetics v. Martin,United States District Court for the Eastern District of Louisiana,"December 6, 1988, Decided",Civil Action No. 88-1906,655
D:/antitrust/Data 1/testing\c6.pdf,North American Produce Corp. v. Nick Penachio Co.,United States District Court for the Eastern District of New York,"December 12, 1988, Decided",CV No. 88-1127,666
D:/antitrust/Data 1/testing\c6.pdf,"Caremark Homecare, Inc. v. New England Critical Care, Inc.","United States District Court for the District of Minnesota, Third Division","December 13, 1988, Decided",No. Civ. 3-88-620,674
D:/antitrust/Data 1/testing\c6.pdf,"Purity Products, Inc. v. Tropicana Products, Inc.",United States District Court for the District of Maryland,"December 13, 1988, Decided",Civil No. H-86-2319,681
D:/antitrust/Data 1/testing\c6.pdf,Bolingbrook v. Citizens Utilities Co.,United States Court of Appeals for the Seventh Circuit,"December 2, 1988, Argued ; December 14, 1988, Decided",No. 88-1868,697
D:/antitrust/Data 1/testing\c6.pdf,Return on Inv. Systems v. Translogic Corp.,"United States District Court for the Northern District of Illinois, Eastern Division","December 19, 1988, Decided",No. 87 C 9967,702
D:/antitrust/Data 1/testing\c6.pdf,"Thomason v. Mitsubishi Electric Sales America, Inc.","United States District Court for the Northern District of Georgia, Atlanta Division","December 19, 1988, Decided",Civil Action No. 1:88-CV-1901-MHS,707
D:/antitrust/Data 1/testing\c6.pdf,"American Medical Transport, Inc. v. Curtis-Universal, Inc.",Court of Appeals of Wisconsin,"October 4, 1988, Submitted on briefs ; December 21, 1988, Decided",No. 88-0257,717
D:/antitrust/Data 1/testing\c6.pdf,JST Properties v. First Nat'l Bank,"United States District Court for the District of Minnesota, Fourth Division","December 21, 1988, Decided",Civil No. 4-87-1066,728
D:/antitrust/Data 1/testing\c6.pdf,"Parts & Electric Motors, Inc. v. Sterling Electric, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","December 22, 1988, Decided",No. 83 C 2349,740
D:/antitrust/Data 1/testing\c6.pdf,"Chivas Products, Ltd. v. Owen",United States Court of Appeals for the Sixth Circuit,"July 21, 1988, Cause Argued ; December 28, 1988, Decided ; December 28, 1988, Filed",No. 87-1784,746
D:/antitrust/Data 1/testing\c6.pdf,"Inter-City Tire & Auto Center, Inc. v. Uniroyal, Inc.",United States District Court for the District of New Jersey,"December 28, 1988, Decided",Civil Action No. 85-1797,759
D:/antitrust/Data 1/testing\c6.pdf,Norwood Aviation v. Boston Metropolitan Airport,United States District Court for the District of Massachusetts,"December 28, 1988, Decided",Civil Action No. 85-0112-W,766
D:/antitrust/Data 1/testing\c6.pdf,"Barket, Levy & Fine, Inc. v. Catalyst Energy Corp.","United States District Court for the Eastern District of Missouri, Eastern Division","December 29, 1988, Decided",No. 88-906 C (2),775
D:/antitrust/Data 1/testing\c6.pdf,"Indiana Grocery, Inc. v. Super Valu Stores, Inc.",United States Court of Appeals for the Seventh Circuit,"September 22, 1988, Argued ; January 6, 1989, Decided","Nos. 88-1625, 88-1739",782
D:/antitrust/Data 1/testing\c6.pdf,"Central Florida Clinic for Rehabilitation, Inc. v. Citrus County Hosp. Bd.","United States District Court for the Middle District of Florida, Ocala Division","January 9, 1989, Decided ;  January 9, 1989, Filed",No. 87-71-Civ-Oc-12,797
D:/antitrust/Data 1/testing\c6.pdf,"R.C. Bigelow, Inc. v. Unilever N.V.",United States Court of Appeals for the Second Circuit,"July 21, 1988, Argued ; January 17, 1989, Decided",Docket No. 88-7505,806
D:/antitrust/Data 1/testing\c6.pdf,General Motors Corp. v. Abrams,United States District Court for the Southern District of New York,"January 18, 1989, Decided ;  January 19, 1989, Filed",No. 86 Civ. 9193 (CSH),818
D:/antitrust/Data 1/testing\c6.pdf,Key Enters. v. Venice Hosp.,"United States District Court for the Middle District of Florida, Tampa Division","January 19, 1989, Decided",Case No. 85-1074-Civ-T-15,830
D:/antitrust/Data 1/testing\c6.pdf,United States Football League v. National Football League,United States District Court for the Southern District of New York,"January 19, 1989, Decided",No. 84 Civ. 7484 (PKL),838
D:/antitrust/Data 1/testing\c6.pdf,"Sample, Inc. v. Pendleton Woolen Mills, Inc.",United States District Court for the Southern District of New York,"January 23, 1989, Decided ;  January 23, 1989, Filed",No. 86 CIV. 2230 (LBS),854
D:/antitrust/Data 1/testing\c6.pdf,Stratmore v. Goodbody,United States Court of Appeals for the Sixth Circuit,"November 28, 1988, Argued ; January 23, 1989, Decided ; January 23, 1989, Filed",No. 88-5130,866
D:/antitrust/Data 1/testing\c6.pdf,"Energex Lighting Industries, Inc. v. North American Philips Lighting Corp.",United States District Court for the Southern District of New York,"January 25, 1989, Decided; January 26, 1989, Filed",No. 83 CIV. 3929 (SWK),872
D:/antitrust/Data 1/testing\c6.pdf,"Fallis v. Pendleton Woolen Mills, Inc.",United States Court of Appeals for the Sixth Circuit,"December 9, 1988, Argued ; January 25, 1989, Decided ; January 25, 1989, Filed",No. 87-3818,877
D:/antitrust/Data 1/testing\c6.pdf,Griffith v. Health Care Authority,"United States District Court for the Northern District of Alabama, Northeastern Division","January 25, 1989, Decided ;  January 25, 1989, Filed",CV No. 88-HM-5426-NE,883
D:/antitrust/Data 1/testing\c6.pdf,"Laurel Sand & Gravel, Inc. v. CSX Transp., Inc.",United States District Court for the District of Maryland,"January 26, 1989, Decided ;  January 26, 1989, Filed",Civil No. PN-87-1582,901
D:/antitrust/Data 1/testing\c6.pdf,Michigan Citizens for an Independent Press v. Thornburgh,United States Court of Appeals for the District of Columbia Circuit,"October 28, 1988, Argued ; January 27, 1989, Decided",No. 88-5286,917
D:/antitrust/Data 1/testing\c6.pdf,"Amgen, Inc. v. Chugai Pharm. Co.",United States District Court for the District of Massachusetts,"January 31, 1989, Decided",Civil Action No. 87-2617-Y,933
D:/antitrust/Data 1/testing\c6.pdf,Chiropractic Cooperative Asso. v. American Medical Asso.,United States Court of Appeals for the Sixth Circuit,"February 8, 1988, Argued ; January 31, 1989, Decided",No. 86-2093,955
D:/antitrust/Data 1/testing\c6.pdf,Kerrigan v. David A. Hoffman & Am. Orthodontics Corp.,United States District Court for the Eastern District of Wisconsin,"February 2, 1989, Decided; February 2, 1989, Filed",Case No. 87-C-0185,963
D:/antitrust/Data 1/testing\c6.pdf,"Monahan's Marine, Inc. v. Boston Whaler, Inc.",United States Court of Appeals for the First Circuit,3-Feb-89,No. 88-1375,970
D:/antitrust/Data 1/testing\c6.pdf,"ANA Towing, Inc. v. Prince George's County",Court of Appeals of Maryland,9-Feb-89,"No. 49, September Term, 1988",978
D:/antitrust/Data 1/testing\c6.pdf,"H.J., Inc. v. IT&T",United States Court of Appeals for the Eighth Circuit,"June 9, 1987, Submitted ; February 9, 1989, Filed","Nos. 86-5347 MN, 86-5348 MN",984
D:/antitrust/Data 1/testing\c6.pdf,"Ron Bianchi & Assoc., Inc. v. Ford Motor Co.",United States District Court for the Eastern District of Louisiana,"February 9, 1989, Filed; February 10, 1989, Entered",Civil Action No. 88-2354,1007
D:/antitrust/Data 1/testing\c6.pdf,In re Workers' Compensation Ins. Antitrust Litig.,United States Court of Appeals for the Eighth Circuit,"June 16, 1988, Submitted ; February 10, 1989, Filed",No. 87-5378,1020
D:/antitrust/Data 1/testing\c6.pdf,Exec. Town & Country Servs. v. Young,Supreme Court of Georgia,"February 15, 1989, Decided",No. 46126,1044
D:/antitrust/Data 1/testing\c6.pdf,Michigan Citizens for an Independent Press v. Thornburgh,United States Court of Appeals for the District of Columbia Circuit,24-Feb-89,No. 88-5286,1049
D:/antitrust/Data 1/testing\c6.pdf,"Westchester Radiological Associates P.C. v. Empire Blue Cross & Blue Shield, Inc.",United States District Court for the Southern District of New York,"February 24, 1989, Decided ; February 24, 1989, Filed",No. 85 Civ. 2733 (KMW),1055
D:/antitrust/Data 1/testing\c6.pdf,"Market Force, Inc. v. Wauwatosa Realty Co.",United States District Court for the Eastern District of Wisconsin,"February 27, 1989, Decided ;  February 27, 1989, Filed",Civil Action No. 88-C-167,1066
D:/antitrust/Data 1/testing\c6.pdf,"Community Hospital of Andalusia, Inc. v. Tomberlin","United States District Court for the Middle District of Alabama, Northern Division","February 28, 1989, Decided ;  February 28, 1989, Filed",Civil Action No. 83-T-099-N,1080
D:/antitrust/Data 1/testing\c6.pdf,"Universal Analytics, Inc. v. MacNeal-Schwendler Corp.",United States District Court for the Central District of California,"February 28, 1989, Decided ; March 2, 1989, Filed",Case No. CV 87-06285 SVW (G),1088
D:/antitrust/Data 1/testing\c6.pdf,"Schachar v. American Academy of Ophthalmology, Inc.",United States Court of Appeals for the Seventh Circuit,"February 6, 1989, Argued ; March 3, 1989, Decided",No. 88-2398,1105
D:/antitrust/Data 1/testing\c6.pdf,Wessel Duval & Co. v. Bekaert Steel Wire Corp.,United States District Court for the Southern District of New York,"March 3, 1989, Decided",No. 86 Civ. 3140 (KTD),1110
D:/antitrust/Data 1/testing\c6.pdf,"Community Electric Service, Inc. v. National Electrical Contractors Ass'n",United States Court of Appeals for the Ninth Circuit,"November 4, 1988, Argued and Submitted ; March 6, 1989, Filed","Nos. 87-6280, 88-5616, 88-5663",1114
D:/antitrust/Data 1/testing\c6.pdf,"Jacobs, Visconsi & Jacobs Co. v. Lawrence",United States District Court for the District of Kansas,"March 6, 1989, Decided ; March 6, 1989, Filed",Civil Action No. 88-2249-S,1130
D:/antitrust/Data 1/testing\c6.pdf,"Creative Trading Co. v. Larkin-Pluznick-Larkin, Inc.","Supreme Court of New York, Appellate Division, First Department",21-Mar-89,No Number in Original,1143
D:/antitrust/Data 1/testing\c6.pdf,Sherm's Car Wash v. City of Fond Du Lac,United States District Court for the Eastern District of Wisconsin,"March 21, 1989, Decided; March 21, 1989, Filed",Case No. 87-C-0699,1147
D:/antitrust/Data 1/testing\c6.pdf,"Consolidated Gold Fields PLC v. Minorco, S.A.",United States Court of Appeals for the Second Circuit,"December 20, 1988, Argued ; March 22, 1989, Decided","Nos. 88-7932, 88-7934",1166
D:/antitrust/Data 1/testing\c6.pdf,Hearity v. Board of Supervisors,Supreme Court of Iowa,"March 22, 1989, Filed",No. 87-930,1183
